"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1007206_1_RL_CPH.bin.21"	"Bacteria"	"Patescibacteria"	"WWE3"	"UBA101185"	"UBA10185"	"Unclassified_UBA10185"	"Unclassified_UBA10185"
"1007206_1_RL_CPH.bin.24"	"Bacteria"	"Acidobacteriota"	"Thermoanaerobaculia"	"UBA5704"	"UBA5704"	"JAAYLR01"	"JAAYLR01 sp012521815"
"1007206_1_RL_CPH.bin.35"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Acidimicrobiales"	"Microtrichaceae"	"Microthrix"	"Microthrix sp002473265"
"1007206_1_RL_CPH.bin.36"	"Bacteria"	"Desulfobacterota"	"Syntrophia"	"Syntrophales"	"UBA4778"	"Unclassified_UBA4778"	"Unclassified_UBA4778"
"1007206_1_RL_CPH.bin.37"	"Bacteria"	"Planctomycetota"	"Phycisphaerae"	"Sedimentisphaerales"	"Anaerohalosphaeraceae"	"JACZKQ01"	"Unclassified_JACZKQ01"
"1007206_1_RL_CPH.bin.38"	"Bacteria"	"Chloroflexota"	"Anaerolineae"	"Promineofilales"	"Promineofilaceae"	"Promineofilum"	"Unclassified_Promineofilum"
"1007206_1_RL_CPH.bin.4"	"Bacteria"	"Desulfobacterota"	"Syntrophia"	"Syntrophales"	"UBA4778"	"UBA2192"	"UBA2192 sp012728915"
"1007206_1_RL_CPH.bin.43"	"Bacteria"	"Firmicutes_A"	"Clostridia"	"Tissierellales"	"Sedimentibacteraceae"	"Sedimentibacter"	"Sedimentibacter sp003483345"
"1007206_1_RL_CPH.bin.48"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	"RPQJ01"	"RPQJ01 sp016704655"
"1007206_1_RL_CPH.bin.49"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"4484-276"	"RZYY01"	"RZYY01 sp012516825"
"1007206_1_RL_CPH.bin.51"	"Bacteria"	"Cloacimonadota"	"Cloacimonadia"	"Cloacimonadales"	"Cloacimonadaceae"	"UBA4175"	"UBA4175 sp002379855"
"1007206_1_RL_CPH.bin.56"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Bacteroidales"	"VadinHA17"	"SR-FBR-E99"	"SR-FBR-E99 sp009881065"
"1007206_1_RL_CPH.bin.59"	"Bacteria"	"Desulfobacterota"	"Syntrophia"	"Syntrophales"	"Smithellaceae"	"UBA8904"	"UBA8904 sp018056765"
