"Site"	"City"	"Date"	"Replicate"	"Replicate_Bigger"	"DNA_conc"	"Year"	"Day"	"Day0"	"Season"	"Sample_Long_Name"
"1007177_2"	"Copenaghen_RD"	"Copenaghen"	2019-11-02	2	TRUE	"37,6"	"2019"	306	276	"autumm"	"DTU_2020_1007177_2_MG_RD_CPH_Sewage_598"
"1007176_2"	"Copenaghen_RL"	"Copenaghen"	2019-11-02	2	TRUE	"21,4"	"2019"	306	276	"autumm"	"DTU_2020_1007176_2_MG_RL_CPH_Sewage_597"
"1007178_1"	"Copenaghen_RA"	"Copenaghen"	2019-11-11	1	TRUE	"3,93"	"2019"	315	285	"autumm"	"DTU_2020_1007178_1_MG_RA_CPH_Sewage_600"
"1007179_2"	"Copenaghen_RD"	"Copenaghen"	2019-11-11	2	TRUE	"3,76"	"2019"	315	285	"autumm"	"DTU_2020_1007179_2_MG_RD_CPH_Sewage_601"
"1007181_2"	"Copenaghen_RA"	"Copenaghen"	2019-11-17	2	TRUE	"7,7"	"2019"	321	291	"autumm"	"DTU_2020_1007181_2_MG_RA_CPH_Sewage_603"
"1007182_2"	"Copenaghen_RD"	"Copenaghen"	2019-11-17	2	TRUE	"43,6"	"2019"	321	291	"autumm"	"DTU_2020_1007182_2_MG_RD_CPH_Sewage_604"
"1007180_2"	"Copenaghen_RL"	"Copenaghen"	2019-11-17	2	TRUE	"52"	"2019"	321	291	"autumm"	"DTU_2020_1007180_2_MG_RL_CPH_Sewage_602"
"1007184_2"	"Copenaghen_RA"	"Copenaghen"	2019-11-24	2	TRUE	"2,15"	"2019"	328	298	"autumm"	"DTU_2020_1007184_2_MG_RA_CPH_Sewage_606"
"1007185_2"	"Copenaghen_RD"	"Copenaghen"	2019-11-24	2	TRUE	"1,84"	"2019"	328	298	"autumm"	"DTU_2020_1007185_2_MG_RD_CPH_Sewage_607"
"1007183_2"	"Copenaghen_RL"	"Copenaghen"	2019-11-24	2	TRUE	"1,82"	"2019"	328	298	"autumm"	"DTU_2020_1007183_2_MG_RL_CPH_Sewage_605"
"1007187_2"	"Copenaghen_RA"	"Copenaghen"	2019-12-02	2	TRUE	"4,29"	"2019"	336	306	"winter"	"DTU_2020_1007187_2_MG_RA_CPH_Sewage_609"
"1007188_2"	"Copenaghen_RD"	"Copenaghen"	2019-12-02	2	TRUE	"3,4"	"2019"	336	306	"winter"	"DTU_2020_1007188_2_MG_RD_CPH_Sewage_610"
"1007186_2"	"Copenaghen_RL"	"Copenaghen"	2019-12-02	2	TRUE	"8,07"	"2019"	336	306	"winter"	"DTU_2020_1007186_2_MG_RL_CPH_Sewage_608"
"1007190_2"	"Copenaghen_RA"	"Copenaghen"	2019-12-20	2	TRUE	"9,07"	"2019"	354	324	"winter"	"DTU_2020_1007190_2_MG_RA_CPH_Sewage_615"
"1007191_1"	"Copenaghen_RD"	"Copenaghen"	2019-12-20	1	TRUE	"31,4"	"2019"	354	324	"winter"	"DTU_2020_1007191_1_MG_RD_CPH_Sewage_616"
"1007189_1"	"Copenaghen_RL"	"Copenaghen"	2019-12-20	1	TRUE	"31,2"	"2019"	354	324	"winter"	"DTU_2020_1007189_1_MG_RL_CPH_Sewage_614"
"1007193_2"	"Copenaghen_RA"	"Copenaghen"	2020-01-07	2	TRUE	"43,5"	"2020"	7	342	"winter"	"DTU_2020_1007193_2_MG_RA_CPH_Sewage_618"
"1007194_1"	"Copenaghen_RD"	"Copenaghen"	2020-01-07	1	TRUE	"37,8"	"2020"	7	342	"winter"	"DTU_2020_1007194_1_MG_RD_CPH_Sewage_619"
"1007192_1"	"Copenaghen_RL"	"Copenaghen"	2020-01-07	1	TRUE	"32,2"	"2020"	7	342	"winter"	"DTU_2020_1007192_1_MG_RL_CPH_Sewage_617"
"1007196_1"	"Copenaghen_RA"	"Copenaghen"	2020-01-14	1	TRUE	"28,6"	"2020"	14	349	"winter"	"DTU_2020_1007196_1_MG_RA_CPH_Sewage_621"
"1007197_1"	"Copenaghen_RD"	"Copenaghen"	2020-01-14	1	TRUE	"36,8"	"2020"	14	349	"winter"	"DTU_2020_1007197_1_MG_RD_CPH_Sewage_622"
"1007195_1"	"Copenaghen_RL"	"Copenaghen"	2020-01-14	1	TRUE	"34,1"	"2020"	14	349	"winter"	"DTU_2020_1007195_1_MG_RL_CPH_Sewage_620"
"1007199_1"	"Copenaghen_RA"	"Copenaghen"	2020-01-22	1	TRUE	"34,8"	"2020"	22	357	"winter"	"DTU_2020_1007199_1_MG_RA_CPH_Sewage_624"
"1007198_1"	"Copenaghen_RL"	"Copenaghen"	2020-01-22	1	TRUE	"45,9"	"2020"	22	357	"winter"	"DTU_2020_1007198_1_MG_RL_CPH_Sewage_623"
"1007204_1"	"Copenaghen_RA"	"Copenaghen"	2020-02-04	1	TRUE	"36,6"	"2020"	35	370	"winter"	"DTU_2020_1007204_1_MG_RA_CPH_Sewage_629"
"1007205_1"	"Copenaghen_RD"	"Copenaghen"	2020-02-04	1	TRUE	"32,3"	"2020"	35	370	"winter"	"DTU_2020_1007205_1_MG_RD_CPH_Sewage_630"
"1007203_1"	"Copenaghen_RL"	"Copenaghen"	2020-02-04	1	TRUE	"5,7"	"2020"	35	370	"winter"	"DTU_2020_1007203_1_MG_RL_CPH_Sewage_628"
"1007207_1"	"Copenaghen_RA"	"Copenaghen"	2020-02-11	1	TRUE	"18,1"	"2020"	42	377	"winter"	"DTU_2020_1007207_1_MG_RA_CPH_Sewage_632"
"1007208_1"	"Copenaghen_RD"	"Copenaghen"	2020-02-11	1	TRUE	"32,7"	"2020"	42	377	"winter"	"DTU_2020_1007208_1_MG_RD_CPH_Sewage_633"
"1007206_1"	"Copenaghen_RL"	"Copenaghen"	2020-02-11	1	TRUE	"6,63"	"2020"	42	377	"winter"	"DTU_2020_1007206_1_MG_RL_CPH_Sewage_631"
"1007210_1"	"Copenaghen_RA"	"Copenaghen"	2020-02-19	1	TRUE	"4,39"	"2020"	50	385	"winter"	"DTU_2020_1007210_1_MG_RA_CPH_Sewage_635"
"1007211_1"	"Copenaghen_RD"	"Copenaghen"	2020-02-19	1	TRUE	"3,69"	"2020"	50	385	"winter"	"DTU_2020_1007211_1_MG_RD_CPH_Sewage_636"
"1007209_1"	"Copenaghen_RL"	"Copenaghen"	2020-02-19	1	TRUE	"33,1"	"2020"	50	385	"winter"	"DTU_2020_1007209_1_MG_RL_CPH_Sewage_634"
"1007212_1"	"Copenaghen_RD"	"Copenaghen"	2020-02-26	1	TRUE	"35,5"	"2020"	57	392	"winter"	"DTU_2020_1007212_1_MG_RD_CPH_Sewage_637"
"1007201_1"	"Copenaghen_RA"	"Copenaghen"	2020-02-29	1	TRUE	"35,3"	"2020"	60	395	"winter"	"DTU_2020_1007201_1_MG_RA_CPH_Sewage_626"
"1007202_1"	"Copenaghen_RD"	"Copenaghen"	2020-02-29	1	TRUE	"39,1"	"2020"	60	395	"winter"	"DTU_2020_1007202_1_MG_RD_CPH_Sewage_627"
"1007200_1"	"Copenaghen_RL"	"Copenaghen"	2020-02-29	1	TRUE	"37,7"	"2020"	60	395	"winter"	"DTU_2020_1007200_1_MG_RL_CPH_Sewage_625"
"1007217_1"	"Copenaghen_RD"	"Copenaghen"	2020-03-05	1	TRUE	"1,34"	"2020"	65	400	"spring"	"DTU_2020_1007217_1_MG_RD_CPH_Sewage_643"
"1007216_2"	"Copenaghen_RL"	"Copenaghen"	2020-03-05	2	TRUE	"1,42"	"2020"	65	400	"spring"	"DTU_2020_1007216_2_MG_RL_CPH_Sewage_642"
"1007218_2"	"Copenaghen_RA"	"Copenaghen"	2020-03-12	2	TRUE	"39,5"	"2020"	72	407	"spring"	"DTU_2020_1007218_2_MG_RA_CPH_Sewage_645"
"1007220_1"	"Copenaghen_RD"	"Copenaghen"	2020-03-12	1	TRUE	"3,5"	"2020"	72	407	"spring"	"DTU_2020_1007220_1_MG_RD_CPH_Sewage_647"
"1007219_2"	"Copenaghen_RL"	"Copenaghen"	2020-03-12	2	TRUE	"1,78"	"2020"	72	407	"spring"	"DTU_2020_1007219_2_MG_RL_CPH_Sewage_646"
"1007221_2"	"Copenaghen_RA"	"Copenaghen"	2020-03-20	2	TRUE	"2,38"	"2020"	80	415	"spring"	"DTU_2020_1007221_2_MG_RA_CPH_Sewage_648"
"1007223_2"	"Copenaghen_RD"	"Copenaghen"	2020-03-20	2	TRUE	"2,56"	"2020"	80	415	"spring"	"DTU_2020_1007223_2_MG_RD_CPH_Sewage_650"
"1007222_1"	"Copenaghen_RL"	"Copenaghen"	2020-03-20	1	TRUE	"2,26"	"2020"	80	415	"spring"	"DTU_2020_1007222_1_MG_RL_CPH_Sewage_649"
"1007225_1"	"Copenaghen_RD"	"Copenaghen"	2020-03-26	1	TRUE	"2,94"	"2020"	86	421	"spring"	"DTU_2020_1007225_1_MG_RD_CPH_Sewage_652"
"1007224_1"	"Copenaghen_RL"	"Copenaghen"	2020-03-26	1	TRUE	"3,14"	"2020"	86	421	"spring"	"DTU_2020_1007224_1_MG_RL_CPH_Sewage_651"
"1007213_1"	"Copenaghen_RA"	"Copenaghen"	2020-04-02	1	TRUE	"58"	"2020"	93	428	"spring"	"DTU_2020_1007213_1_MG_RA_CPH_Sewage_638"
"1007214_2"	"Copenaghen_RD"	"Copenaghen"	2020-04-02	2	TRUE	"54"	"2020"	93	428	"spring"	"DTU_2020_1007214_2_MG_RD_CPH_Sewage_639"
"1007215_2"	"Copenaghen_RL"	"Copenaghen"	2020-04-02	2	TRUE	"55"	"2020"	93	428	"spring"	"DTU_2020_1007215_2_MG_RL_CPH_Sewage_640"
